	year	num_level_1	num_level_3	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	pct_level_1	num_level_3_and_4	boroughBROOKLYN	boroughQUEENS	boroughMANHATTAN	boroughSTATEN ISLAND	boroughBRONX	bindemographic	grade6	grade5	grade8	grade3	grade7	gradeAll Grades	grade4
94	2011	4753	4132	18197	8832	25.3	657	480	2.6	22.7	48.5	26.1	4612	0	0	0	0	1	1	0	0	0	0	0	1	0
95	2011	8639	27754	75842	30122	48.9	673	9327	12.3	36.6	39.7	11.4	37081	0	0	0	0	1	0	0	0	0	0	0	1	0
96	2012	4638	4127	17640	8159	27.5	657	716	4.1	23.4	46.3	26.3	4843	0	0	0	0	1	1	0	0	0	0	0	1	0
97	2012	8437	27494	75808	28624	51.1	675	11253	14.8	36.3	37.8	11.1	38747	0	0	0	0	1	0	0	0	0	0	0	1	0
98	2006	551	1826	3590	856	60.8	656	357	9.9	50.9	23.8	15.3	2183	1	0	0	0	0	1	0	0	0	1	0	0	0
99	2006	1472	9994	19463	2786	78.1	677	5211	26.8	51.3	14.3	7.6	15205	1	0	0	0	0	0	0	0	0	1	0	0	0
100	2007	358	1929	3550	658	71.4	668	605	17.0	54.3	18.5	10.1	2534	1	0	0	0	0	1	0	0	0	1	0	0	0
101	2007	880	9993	19211	2205	83.9	686	6133	31.9	52.0	11.5	4.6	16126	1	0	0	0	0	0	0	0	0	1	0	0	0
102	2008	171	2266	3379	512	79.8	673	430	12.7	67.1	15.2	5.1	2696	1	0	0	0	0	1	0	0	0	1	0	0	0
103	2008	565	11544	18503	1622	88.2	687	4772	25.8	62.4	8.8	3.1	16316	1	0	0	0	0	0	0	0	0	1	0	0	0
104	2009	92	2470	3460	416	85.3	677	482	13.9	71.4	12.0	2.7	2952	1	0	0	0	0	1	0	0	0	1	0	0	0
105	2009	215	11990	18358	1179	92.4	692	4974	27.1	65.3	6.4	1.2	16964	1	0	0	0	0	0	0	0	0	1	0	0	0
106	2010	746	986	3661	1466	39.6	680	463	12.6	26.9	40.0	20.4	1449	1	0	0	0	0	1	0	0	0	1	0	0	0
107	2010	2015	6053	18407	6035	56.3	692	4304	23.4	32.9	32.8	10.9	10357	1	0	0	0	0	0	0	0	0	1	0	0	0
108	2011	756	1208	3575	1458	38.1	675	153	4.3	33.8	40.8	21.1	1361	1	0	0	0	0	1	0	0	0	1	0	0	0
109	2011	1857	8264	18613	5997	57.8	686	2495	13.4	44.4	32.2	10.0	10759	1	0	0	0	0	0	0	0	0	1	0	0	0
110	2012	716	1251	3449	1301	41.5	677	181	5.2	36.3	37.7	20.8	1432	1	0	0	0	0	1	0	0	0	1	0	0	0
111	2012	1799	8559	18707	5798	59.4	688	2551	13.6	45.8	31.0	9.6	11110	1	0	0	0	0	0	0	0	0	1	0	0	0
112	2006	616	1093	2591	698	49.3	645	184	7.1	42.2	26.9	23.8	1277	1	0	0	0	0	1	0	0	0	0	0	0	1
113	2006	1663	10115	20003	3559	73.9	673	4666	23.3	50.6	17.8	8.3	14781	1	0	0	0	0	0	0	0	0	0	0	0	1
114	2007	548	1511	3162	829	56.5	654	274	8.7	47.8	26.2	17.3	1785	1	0	0	0	0	1	0	0	0	0	0	0	1
115	2007	1233	9813	19151	3131	77.2	678	4974	26.0	51.2	16.3	6.4	14787	1	0	0	0	0	0	0	0	0	0	0	0	1
116	2008	365	1608	2915	638	65.6	660	304	10.4	55.2	21.9	12.5	1912	1	0	0	0	0	1	0	0	0	0	0	0	1
117	2008	1052	10070	19209	2518	81.4	681	5569	29.0	52.4	13.1	5.5	15639	1	0	0	0	0	0	0	0	0	0	0	0	1
118	2009	257	1647	2941	521	73.5	670	516	17.5	56.0	17.7	8.7	2163	1	0	0	0	0	1	0	0	0	0	0	0	1
119	2009	696	9282	18789	1825	86.6	691	6986	37.2	49.4	9.7	3.7	16268	1	0	0	0	0	0	0	0	0	0	0	0	1
120	2010	462	1001	3377	1563	40.0	668	351	10.4	29.6	46.3	13.7	1352	1	0	0	0	0	1	0	0	0	0	0	0	1
121	2010	1103	6568	18728	6091	61.6	687	4966	26.5	35.1	32.5	5.9	11534	1	0	0	0	0	0	0	0	0	0	0	0	1
122	2011	484	1071	3248	1388	42.4	668	305	9.4	33.0	42.7	14.9	1376	1	0	0	0	0	1	0	0	0	0	0	0	1
123	2011	1034	7014	18869	5745	64.1	687	5076	26.9	37.2	30.4	5.5	12090	1	0	0	0	0	0	0	0	0	0	0	0	1
124	2012	437	1099	3154	1172	49.0	672	446	14.1	34.8	37.2	13.9	1545	1	0	0	0	0	1	0	0	0	0	0	0	1
125	2012	892	6875	18541	4940	68.5	691	5834	31.5	37.1	26.6	4.8	12709	1	0	0	0	0	0	0	0	0	0	0	0	1
126	2006	657	809	2455	829	39.5	639	160	6.5	33.0	33.8	26.8	969	1	0	0	0	0	1	0	1	0	0	0	0	0
127	2006	2263	9491	20617	5065	64.5	663	3798	18.4	46.0	24.6	11.0	13289	1	0	0	0	0	0	0	1	0	0	0	0	0
128	2007	484	993	2488	795	48.6	648	216	8.7	39.9	32.0	19.5	1209	1	0	0	0	0	1	0	1	0	0	0	0	0
129	2007	1237	10443	20374	4026	74.2	673	4668	22.9	51.3	19.8	6.1	15111	1	0	0	0	0	0	0	1	0	0	0	0	0
130	2008	316	1248	2497	682	60.0	656	251	10.1	50.0	27.3	12.7	1499	1	0	0	0	0	1	0	1	0	0	0	0	0
131	2008	743	10628	19333	2765	81.9	679	5197	26.9	55.0	14.3	3.8	15825	1	0	0	0	0	0	0	1	0	0	0	0	0
132	2009	199	1466	2601	545	71.4	665	391	15.0	56.4	21.0	7.7	1857	1	0	0	0	0	1	0	1	0	0	0	0	0
133	2009	403	9943	18981	2022	87.2	685	6613	34.8	52.4	10.7	2.1	16556	1	0	0	0	0	0	0	1	0	0	0	0	0
134	2010	446	805	2794	1291	37.8	665	252	9.0	28.8	46.2	16.0	1057	1	0	0	0	0	1	0	1	0	0	0	0	0
135	2010	1214	6979	18574	5941	61.5	684	4440	23.9	37.6	32.0	6.5	11419	1	0	0	0	0	0	0	1	0	0	0	0	0
136	2011	492	909	2945	1283	39.7	665	261	8.9	30.9	43.6	16.7	1170	1	0	0	0	0	1	0	1	0	0	0	0	0
137	2011	988	7706	18615	5403	65.7	687	4518	24.3	41.4	29.0	5.3	12224	1	0	0	0	0	0	0	1	0	0	0	0	0
138	2012	487	850	2759	1095	42.7	667	327	11.9	30.8	39.7	17.7	1177	1	0	0	0	0	1	0	1	0	0	0	0	0
139	2012	1096	6955	18371	4634	68.8	690	5686	31.0	37.9	25.2	6.0	12641	1	0	0	0	0	0	0	1	0	0	0	0	0
140	2006	801	500	2077	706	27.4	623	70	3.4	24.1	34.0	38.6	570	1	0	0	0	0	1	1	0	0	0	0	0	0
141	2006	3463	8991	21293	6341	54.0	651	2498	11.7	42.2	29.8	16.3	11489	1	0	0	0	0	0	1	0	0	0	0	0	0
142	2007	683	710	2197	708	36.7	633	96	4.4	32.3	32.2	31.1	806	1	0	0	0	0	1	1	0	0	0	0	0	0
