year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2011	BROOKLYN	1776	6140	EP	18693	6112	57.8	680	4665	25	32.8	32.7	6	9.5	10805
2012	BROOKLYN	593	548	ELL	2483	1062	33.3	656	280	11.3	22.1	42.8	6	23.9	828
2012	BROOKLYN	1578	6046	EP	18852	5740	61.2	682	5488	29.1	32.1	30.4	6	8.4	11534
2006	BROOKLYN	974	509	ELL	2496	959	22.6	616	54	2.2	20.4	38.4	7	39	563
2006	BROOKLYN	3618	7968	EP	21112	7820	45.8	643	1706	8.1	37.7	37	7	17.1	9674
2007	BROOKLYN	591	534	ELL	2151	928	29.4	629	98	4.6	24.8	43.1	7	27.5	632
2007	BROOKLYN	2153	9032	EP	21477	7122	56.8	656	3170	14.8	42.1	33.2	7	10	12202
2008	BROOKLYN	346	888	ELL	2172	816	46.5	642	122	5.6	40.9	37.6	7	15.9	1010
2008	BROOKLYN	1036	10376	EP	20545	5112	70.1	666	4021	19.6	50.5	24.9	7	5	14397
2009	BROOKLYN	132	1150	ELL	2200	754	59.7	655	164	7.5	52.3	34.3	7	6	1314
2009	BROOKLYN	350	11698	EP	19903	3078	82.8	676	4777	24	58.8	15.5	7	1.8	16475
2010	BROOKLYN	703	485	ELL	2455	1051	28.6	651	216	8.8	19.8	42.8	7	28.6	701
2010	BROOKLYN	1937	5979	EP	19324	6787	54.9	673	4621	23.9	30.9	35.1	7	10	10600
2011	BROOKLYN	666	534	ELL	2484	1041	31.3	655	243	9.8	21.5	41.9	7	26.8	777
2011	BROOKLYN	1736	5879	EP	19136	6324	57.9	676	5197	27.2	30.7	33	7	9.1	11076
2012	BROOKLYN	644	509	ELL	2431	1015	31.8	655	263	10.8	20.9	41.8	7	26.5	772
2012	BROOKLYN	1696	5905	EP	18662	5660	60.6	678	5401	28.9	31.6	30.3	7	9.1	11306
2006	BROOKLYN	988	531	ELL	2463	889	23.8	620	55	2.2	21.6	36.1	8	40.1	586
2006	BROOKLYN	4793	7188	EP	21620	7922	41.2	642	1717	7.9	33.2	36.6	8	22.2	8905
2007	BROOKLYN	855	665	ELL	2527	929	29.4	629	78	3.1	26.3	36.8	8	33.8	743
2007	BROOKLYN	3728	7947	EP	21152	7445	47.2	649	2032	9.6	37.6	35.2	8	17.6	9979
2008	BROOKLYN	407	784	ELL	2017	716	44.3	643	110	5.5	38.9	35.5	8	20.2	894
